frame_path,dive_type,position,difficulty,score
train\2020_olympics_dive_01\frame_0.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_10.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_100.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_102.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_104.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_106.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_108.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_110.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_112.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_114.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_116.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_118.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_12.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_120.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_122.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_124.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_126.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_128.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_130.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_132.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_134.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_136.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_138.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_14.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_140.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_142.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_144.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_146.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_148.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_150.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_152.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
train\2020_olympics_dive_01\frame_154.jpg,Inward 3 1/2 Somersaults,Tuck,3.2,60.8
