frame_path,dive_type,position,difficulty,score
train\2020_olympics_dive_1\frame_0.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_10.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_12.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_14.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_16.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_18.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_2.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_20.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_22.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_24.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_26.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_28.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_30.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_32.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_34.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_36.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_38.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_4.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_40.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_42.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_44.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_46.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_48.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_50.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_52.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_54.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_56.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_58.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_6.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_60.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_62.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_64.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_66.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_68.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_70.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_72.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_74.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_1\frame_8.jpg,Inward 3 1/2 Somersaults,Tuck,0.0,60.8
train\2020_olympics_dive_13\frame_0.jpg,Back 3 1/2 Somersaults,Tuck,0.0,79.2
train\2020_olympics_dive_13\frame_10.jpg,Back 3 1/2 Somersaults,Tuck,0.0,79.2
train\2020_olympics_dive_13\frame_12.jpg,Back 3 1/2 Somersaults,Tuck,0.0,79.2
train\2020_olympics_dive_13\frame_14.jpg,Back 3 1/2 Somersaults,Tuck,0.0,79.2
train\2020_olympics_dive_13\frame_2.jpg,Back 3 1/2 Somersaults,Tuck,0.0,79.2
train\2020_olympics_dive_13\frame_4.jpg,Back 3 1/2 Somersaults,Tuck,0.0,79.2
train\2020_olympics_dive_13\frame_6.jpg,Back 3 1/2 Somersaults,Tuck,0.0,79.2
train\2020_olympics_dive_13\frame_8.jpg,Back 3 1/2 Somersaults,Tuck,0.0,79.2
train\2020_olympics_dive_15\frame_0.jpg,Armstand Back 2 Somersaults 2 1/2 Twists,Free,0.0,59.4
train\2020_olympics_dive_15\frame_10.jpg,Armstand Back 2 Somersaults 2 1/2 Twists,Free,0.0,59.4
train\2020_olympics_dive_15\frame_12.jpg,Armstand Back 2 Somersaults 2 1/2 Twists,Free,0.0,59.4
train\2020_olympics_dive_15\frame_14.jpg,Armstand Back 2 Somersaults 2 1/2 Twists,Free,0.0,59.4
train\2020_olympics_dive_15\frame_16.jpg,Armstand Back 2 Somersaults 2 1/2 Twists,Free,0.0,59.4
train\2020_olympics_dive_15\frame_18.jpg,Armstand Back 2 Somersaults 2 1/2 Twists,Free,0.0,59.4
train\2020_olympics_dive_15\frame_2.jpg,Armstand Back 2 Somersaults 2 1/2 Twists,Free,0.0,59.4
train\2020_olympics_dive_15\frame_20.jpg,Armstand Back 2 Somersaults 2 1/2 Twists,Free,0.0,59.4
train\2020_olympics_dive_15\frame_22.jpg,Armstand Back 2 Somersaults 2 1/2 Twists,Free,0.0,59.4
train\2020_olympics_dive_15\frame_24.jpg,Armstand Back 2 Somersaults 2 1/2 Twists,Free,0.0,59.4
train\2020_olympics_dive_15\frame_26.jpg,Armstand Back 2 Somersaults 2 1/2 Twists,Free,0.0,59.4
train\2020_olympics_dive_15\frame_28.jpg,Armstand Back 2 Somersaults 2 1/2 Twists,Free,0.0,59.4
